,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
11551,Anthony Gill,WAS,28.0,200.66,104.32616,Virginia,USA,Undrafted,Undrafted,Undrafted,26,3.1,2.0,0.4,-1.6,0.07400000000000001,0.151,0.14300000000000002,0.597,0.073,2020-21
11552,Anthony Lamb,HOU,23.0,198.12,102.965384,Vermont,USA,Undrafted,Undrafted,Undrafted,24,5.5,2.9,1.0,-9.2,0.055,0.109,0.14400000000000002,0.523,0.08,2020-21
11553,Anthony Tolliver,PHI,36.0,203.2,108.86208,Creighton,USA,Undrafted,Undrafted,Undrafted,11,1.5,0.9,0.2,16.6,0.027999999999999997,0.071,0.09,0.433,0.025,2020-21
11554,Anzejs Pasecniks,WAS,25.0,215.9,103.872568,None,Latvia,2017,1,25,1,0.0,1.0,1.0,-104.4,0.14300000000000002,0.0,0.375,0.0,0.33299999999999996,2020-21
11555,Bruno Caboclo,HOU,25.0,205.74,98.88305600000001,None,Brazil,2014,1,20,6,2.8,2.3,0.2,2.3,0.064,0.268,0.23199999999999998,0.475,0.048,2020-21
11556,Bruce Brown,BKN,24.0,193.04,91.625584,Miami,USA,2018,2,42,65,8.8,5.4,1.6,3.5,0.081,0.154,0.157,0.604,0.099,2020-21
11557,Brook Lopez,MIL,33.0,213.36,127.912944,Stanford,USA,2008,1,10,70,12.3,5.0,0.7,6.8,0.054000000000000006,0.115,0.166,0.611,0.033,2020-21
11558,Brodric Thomas,CLE,24.0,195.58,83.91452,Truman State,USA,Undrafted,Undrafted,Undrafted,32,3.9,1.7,0.9,-4.5,0.019,0.107,0.158,0.48700000000000004,0.115,2020-21
11559,Brian Bowen II,IND,22.0,198.12,86.18248,None,USA,Undrafted,Undrafted,Undrafted,6,0.5,0.5,0.0,9.4,0.0,0.158,0.098,0.33799999999999997,0.0,2020-21
11560,Brandon Ingram,NOP,23.0,203.2,86.18248,Duke,USA,2016,1,2,61,23.8,4.9,4.9,1.0,0.016,0.126,0.27899999999999997,0.584,0.218,2020-21
11561,Brandon Goodwin,ATL,25.0,182.88,81.64656,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,47,4.9,1.5,2.0,-4.4,0.012,0.09699999999999999,0.19,0.47100000000000003,0.24600000000000002,2020-21
11562,Brandon Clarke,MEM,24.0,203.2,97.52228000000001,Gonzaga,Canada,2019,1,21,59,10.3,5.6,1.6,0.2,0.064,0.16,0.16699999999999998,0.56,0.094,2020-21
11563,Bradley Beal,WAS,28.0,190.5,93.89354399999999,Florida,USA,2012,1,3,60,31.3,4.7,4.4,-0.4,0.033,0.094,0.331,0.593,0.20199999999999999,2020-21
11564,Brad Wanamaker,CHA,31.0,190.5,95.25432,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,61,5.5,1.7,2.9,-5.7,0.016,0.08,0.166,0.489,0.251,2020-21
11565,Bol Bol,DEN,21.0,218.44,99.79024,Oregon,Sudan,2019,2,44,32,2.2,0.8,0.2,-24.9,0.0,0.154,0.191,0.534,0.067,2020-21
11566,Bojan Bogdanovic,UTA,32.0,200.66,102.511792,None,Croatia,2011,2,31,72,17.0,3.9,1.9,9.5,0.018000000000000002,0.099,0.225,0.588,0.091,2020-21
11567,De'Andre Hunter,ATL,23.0,203.2,102.0582,Virginia,USA,2019,1,4,23,15.0,4.8,1.9,5.5,0.024,0.125,0.19399999999999998,0.603,0.098,2020-21
11568,Bogdan Bogdanovic,ATL,28.0,198.12,99.79024,None,Serbia,2014,1,27,44,16.4,3.6,3.3,3.9,0.016,0.10400000000000001,0.21,0.616,0.16899999999999998,2020-21
11569,Boban Marjanovic,DAL,32.0,223.52,131.54168,None,Serbia,Undrafted,Undrafted,Undrafted,33,4.7,3.9,0.3,5.9,0.159,0.29100000000000004,0.231,0.562,0.06,2020-21
11570,Blake Griffin,BKN,32.0,205.74,113.398,Oklahoma,USA,2009,1,1,46,11.0,4.9,3.0,2.1,0.028999999999999998,0.159,0.191,0.546,0.171,2020-21
11571,Bismack Biyombo,CHA,28.0,203.2,115.66596000000001,None,DRC,2011,1,7,66,5.0,5.3,1.2,-8.9,0.094,0.15,0.113,0.574,0.087,2020-21
11572,Ben Simmons,PHI,24.0,210.82,108.86208,Louisiana State,Australia,2016,1,1,58,14.3,7.2,6.9,8.0,0.051,0.166,0.2,0.584,0.308,2020-21
11573,Ben McLemore,LAL,28.0,190.5,88.45044,Kansas,USA,2013,1,7,53,7.7,1.9,0.7,-4.2,0.015,0.091,0.192,0.523,0.064,2020-21
11574,Bam Adebayo,MIA,23.0,205.74,115.66596000000001,Kentucky,USA,2017,1,14,64,18.7,9.0,5.4,0.6,0.07,0.204,0.233,0.626,0.267,2020-21
11575,Axel Toupane,MIL,28.0,200.66,95.25432,None,France,Undrafted,Undrafted,Undrafted,8,1.8,0.8,0.5,-2.2,0.0,0.08199999999999999,0.092,0.49700000000000005,0.098,2020-21
11576,Avery Bradley,HOU,30.0,190.5,81.64656,Texas-Austin,USA,2010,1,19,27,6.4,2.1,1.7,-10.2,0.013000000000000001,0.078,0.146,0.48700000000000004,0.10800000000000001,2020-21
11577,Austin Rivers,DEN,28.0,193.04,90.7184,Duke,USA,2012,1,10,36,7.9,2.3,2.3,0.0,0.009000000000000001,0.08800000000000001,0.15,0.551,0.136,2020-21
11578,Ashton Hagans,MIN,21.0,190.5,86.18248,Kentucky,USA,Undrafted,Undrafted,Undrafted,2,0.0,0.0,0.0,-21.8,0.0,0.0,0.083,0.0,0.0,2020-21
